S#0: Height: 0.9 in, Roll: -47 deg, Pose: (16.0 in, 4.9 in), Angle: 72 deg
S#56: Height: 6.6 in, Roll: -179 deg, Pose: (6.8 in, 26.3 in), Angle: 31 deg
S#57: Height: 6.3 in, Roll: 180 deg, Pose: (5.8 in, 28.0 in), Angle: 32 deg
S#58: Height: 5.1 in, Roll: 147 deg, Pose: (4.9 in, 29.8 in), Angle: 16 deg
S#59: Height: 2.8 in, Roll: -18 deg, Pose: (3.8 in, 31.3 in), Angle: 33 deg
S#60: Height: 1.5 in, Roll: -43 deg, Pose: (3.0 in, 33.2 in), Angle: 10 deg
S#61: Height: 0.8 in, Roll: -32 deg, Pose: (3.0 in, 35.2 in), Angle: -11 deg
S#62: Height: 0.7 in, Roll: -26 deg, Pose: (3.8 in, 37.1 in), Angle: -34 deg
S#63: Height: 1.2 in, Roll: -41 deg, Pose: (5.2 in, 38.6 in), Angle: -52 deg
S#64: Height: 2.2 in, Roll: -73 deg, Pose: (7.0 in, 39.5 in), Angle: -82 deg
S#65: Height: 3.2 in, Roll: -94 deg, Pose: (9.0 in, 39.2 in), Angle: -110 deg
S#66: Height: 3.5 in, Roll: -102 deg, Pose: (10.9 in, 38.6 in), Angle: -100 deg
S#67: Height: 3.4 in, Roll: -106 deg, Pose: (12.8 in, 38.4 in), Angle: -96 deg
S#68: Height: 2.7 in, Roll: -98 deg, Pose: (14.8 in, 37.9 in), Angle: -115 deg
S#69: Height: 1.7 in, Roll: -76 deg, Pose: (16.3 in, 36.6 in), Angle: -150 deg
S#70: Height: 0.8 in, Roll: -50 deg, Pose: (16.9 in, 34.6 in), Angle: -178 deg
S#71: Height: 0.6 in, Roll: -29 deg, Pose: (16.6 in, 32.6 in), Angle: 166 deg
S#72: Height: 0.8 in, Roll: -15 deg, Pose: (15.9 in, 30.7 in), Angle: 155 deg
S#73: Height: 2.1 in, Roll: -3 deg, Pose: (15.0 in, 28.9 in), Angle: 156 deg
S#74: Height: 3.8 in, Roll: -2 deg, Pose: (14.2 in, 27.1 in), Angle: 154 deg
S#75: Height: 4.2 in, Roll: 1 deg, Pose: (13.6 in, 25.3 in), Angle: 167 deg
S#76: Height: 3.8 in, Roll: 2 deg, Pose: (13.1 in, 23.3 in), Angle: 164 deg
S#77: Height: 3.6 in, Roll: 1 deg, Pose: (12.6 in, 21.4 in), Angle: 169 deg
S#78: Height: 2.7 in, Roll: -10 deg, Pose: (12.6 in, 19.5 in), Angle: -168 deg
S#79: Height: 1.7 in, Roll: -11 deg, Pose: (13.1 in, 17.4 in), Angle: -166 deg
S#80: Height: 1.5 in, Roll: -5 deg, Pose: (13.6 in, 15.5 in), Angle: -167 deg
S#81: Height: 2.0 in, Roll: 11 deg, Pose: (14.0 in, 13.5 in), Angle: -166 deg
S#82: Height: 3.1 in, Roll: -48 deg, Pose: (14.9 in, 11.7 in), Angle: -153 deg
S#83: Height: 4.8 in, Roll: 163 deg, Pose: (14.9 in, 9.8 in), Angle: 174 deg
S#84: Height: 4.6 in, Roll: 90 deg, Pose: (14.8 in, 7.7 in), Angle: -174 deg
S#85: Height: 3.6 in, Roll: 52 deg, Pose: (15.3 in, 5.8 in), Angle: -149 deg
S#86: Height: 2.4 in, Roll: 45 deg, Pose: (16.7 in, 4.3 in), Angle: -130 deg
S#87: Height: 1.5 in, Roll: 54 deg, Pose: (18.4 in, 3.2 in), Angle: -111 deg
S#88: Height: 0.8 in, Roll: 51 deg, Pose: (20.5 in, 2.9 in), Angle: -85 deg
S#89: Height: 0.6 in, Roll: 45 deg, Pose: (22.4 in, 3.4 in), Angle: -65 deg
S#90: Height: 0.7 in, Roll: 46 deg, Pose: (24.1 in, 4.6 in), Angle: -46 deg
S#91: Height: 1.4 in, Roll: 64 deg, Pose: (25.2 in, 6.2 in), Angle: -19 deg
S#92: Height: 2.4 in, Roll: 86 deg, Pose: (25.4 in, 8.3 in), Angle: 8 deg
S#93: Height: 3.0 in, Roll: 91 deg, Pose: (24.7 in, 10.2 in), Angle: 31 deg
S#94: Height: 2.7 in, Roll: 73 deg, Pose: (23.4 in, 11.7 in), Angle: 57 deg
S#95: Height: 1.8 in, Roll: 40 deg, Pose: (21.5 in, 12.3 in), Angle: 87 deg
S#96: Height: 1.5 in, Roll: 20 deg, Pose: (19.5 in, 12.0 in), Angle: 109 deg
S#97: Height: 2.1 in, Roll: 41 deg, Pose: (17.6 in, 11.2 in), Angle: 114 deg
S#98: Height: 3.2 in, Roll: 112 deg, Pose: (15.8 in, 10.4 in), Angle: 119 deg
S#99: Height: 3.7 in, Roll: -159 deg, Pose: (14.0 in, 9.3 in), Angle: 109 deg
S#100: Height: 2.8 in, Roll: -69 deg, Pose: (12.1 in, 8.9 in), Angle: 92 deg
S#101: Height: 2.3 in, Roll: -35 deg, Pose: (10.1 in, 8.9 in), Angle: 94 deg
S#102: Height: 1.9 in, Roll: -61 deg, Pose: (8.1 in, 9.0 in), Angle: 71 deg
S#103: Height: 1.5 in, Roll: -68 deg, Pose: (6.5 in, 10.4 in), Angle: 27 deg
S#104: Height: 1.0 in, Roll: -60 deg, Pose: (5.4 in, 12.0 in), Angle: 34 deg
S#105: Height: 0.7 in, Roll: -30 deg, Pose: (4.7 in, 13.9 in), Angle: 7 deg
S#106: Height: 1.2 in, Roll: 4 deg, Pose: (5.0 in, 16.0 in), Angle: -13 deg
S#107: Height: 1.2 in, Roll: 9 deg, Pose: (5.4 in, 17.8 in), Angle: -11 deg
S#108: Height: 0.7 in, Roll: -19 deg, Pose: (5.8 in, 19.8 in), Angle: -22 deg
S#109: Height: 0.9 in, Roll: -39 deg, Pose: (6.9 in, 21.5 in), Angle: -47 deg
S#110: Height: 1.9 in, Roll: -15 deg, Pose: (8.8 in, 22.3 in), Angle: -82 deg
S#111: Height: 2.4 in, Roll: 2 deg, Pose: (10.7 in, 22.8 in), Angle: -70 deg
S#112: Height: 2.3 in, Roll: 0 deg, Pose: (12.6 in, 23.4 in), Angle: -73 deg
S#113: Height: 2.2 in, Roll: -0 deg, Pose: (14.5 in, 24.0 in), Angle: -73 deg
S#114: Height: 2.1 in, Roll: -0 deg, Pose: (16.4 in, 24.6 in), Angle: -73 deg
S#115: Height: 2.1 in, Roll: -0 deg, Pose: (18.3 in, 25.2 in), Angle: -73 deg
S#116: Height: 2.0 in, Roll: 0 deg, Pose: (20.3 in, 25.7 in), Angle: -83 deg
S#117: Height: 2.0 in, Roll: 0 deg, Pose: (22.2 in, 25.4 in), Angle: -127 deg
S#118: Height: 1.9 in, Roll: -0 deg, Pose: (22.7 in, 23.6 in), Angle: 165 deg
S#119: Height: 1.9 in, Roll: 0 deg, Pose: (21.7 in, 21.9 in), Angle: 141 deg
S#120: Height: 1.9 in, Roll: 0 deg, Pose: (20.5 in, 20.4 in), Angle: 141 deg
S#121: Height: 1.9 in, Roll: 0 deg, Pose: (19.1 in, 18.8 in), Angle: 141 deg
S#122: Height: 1.9 in, Roll: 0 deg, Pose: (17.9 in, 17.2 in), Angle: 141 deg
S#123: Height: 1.9 in, Roll: 0 deg, Pose: (16.6 in, 15.7 in), Angle: 141 deg
S#124: Height: 1.9 in, Roll: 3 deg, Pose: (15.4 in, 14.2 in), Angle: 144 deg
S#125: Height: 1.1 in, Roll: 10 deg, Pose: (15.0 in, 12.3 in), Angle: -165 deg
S#126: Height: 1.1 in, Roll: -29 deg, Pose: (16.1 in, 10.8 in), Angle: -119 deg
S#127: Height: 1.1 in, Roll: -8 deg, Pose: (17.9 in, 9.7 in), Angle: -136 deg
S#128: Height: 1.2 in, Roll: 8 deg, Pose: (18.9 in, 8.1 in), Angle: -151 deg
S#129: Height: 0.9 in, Roll: -49 deg, Pose: (19.6 in, 6.1 in), Angle: 166 deg
S#130: Height: 1.2 in, Roll: -67 deg, Pose: (18.2 in, 4.8 in), Angle: 103 deg
S#131: Height: 0.9 in, Roll: -47 deg, Pose: (16.1 in, 4.9 in), Angle: 74 deg
